video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=tVyE61D9dZk&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@abc10news,ABC 10 News,In-Depth: California drought could make housing crisis worse,18K,4 years,"As California prepares for what could be another prolonged drought, ABC 10News Reporter Jared Aarons talks with experts about ...",2026-01-19 19:10:42.835683
/watch?v=IFVPcfXlvGM&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@abc7news,ABC7 News Bay Area,Wildlife experts explain how California drought is pushing coyotes into residential neighborhoods,2.8K,4 years,"As things like wildfires and droughts continue to worsen, wild animals are forced to move out of their natural habitats and into ...",2026-01-19 19:10:42.838904
/watch?v=7NplrMEOoqs&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@NOAADrought,National Integrated Drought Information System,Southern California Drought Early Warning Pilot: September 2025 Sector-Specific Drought Outlook,95,3 months,This outlook disseminates sector-specific drought scenarios that are based on tailored monitoring and forecasting information ...,2026-01-19 19:10:42.841948
/watch?v=v0i2HOL6Rwo&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h00gcJCU8KAYcqIYzv,/@InsideEdition,Inside Edition,California Drought Leaves One Town Looking Like a 21st Century Dustbowl,5.7M,10 years,East Porterville is a town in California that has completely run out of water. It is ground zero in the drought and has become a 21st ...,2026-01-19 19:10:42.843378
/shorts/bKmGZOJKeA4,/@ScoopofScience,Scoop of Science,California drought,97,4 years,California faces another drought. Many of the state's reservoirs are at extremely low capacity and levels are expected to drop ...,2026-01-19 19:10:42.846521
/watch?v=jh90Tm_TH1Y&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h00gcJCU8KAYcqIYzv,/@VICENews,VICE News,Flooding Fields in California’s Drought,259K,10 years,"Faced with a severe drought, California enacted mandatory water conservation rules in early April for the first time in the state's ...",2026-01-19 19:10:42.848866
/watch?v=S5qqkLSWpCQ&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@BillMartinWestCoastWeather,Bill Martin West Coast Weather Channel,California Water Check: Measuring the Impact of the Last Atmospheric River,29K,3 weeks,"A much-needed atmospheric river finally delivered rain and snow to California after a dry start to December. In this update, we ...",2026-01-19 19:10:42.853008
/watch?v=Pz0OdsAQHtY&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC10,ABC10,Sierra snow drought impacts early ski season in Northern California,1.3K,1 month,"The Sierra Nevada is experiencing what experts call a snow drought, with snowfall well below average as the early ski season ...",2026-01-19 19:10:42.856811
/watch?v=vEAFzgsRQs8&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@NBCNews,NBC News,Climate Change And Drought Forcing Hard Choices Across California,117K,3 years,"Severe drought in California is creating major challenges for farmers in the state. Joe Del Bosque, who has operated his farm ...",2026-01-19 19:10:42.858210
/shorts/rIfbA-zfeSM,/@ABC7,ABC7,"With all this rain, could California's drought soon be over?",16K,2 years,"With all this rain, could California's drought soon be over? #shorts.",2026-01-19 19:10:42.860429
/shorts/CeHNPjwM12Q,/@washingtonpostuniverse,Washington Post Universe,Snowfall in California could help the drought,2K,3 years,"California has also been experiencing devastating storms due to weather systems called atmospheric rivers, which have boosted ...",2026-01-19 19:10:42.862662
/watch?v=pCRX232VkBk&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@UndecidedMF,Undecided with Matt Ferrell,How Solar Panels Can Help Solve California’s Drought,526K,3 years,The simple genius of solar canals explained. The first 100 people to use code UNDECIDED at the link below will get 20% off of ...,2026-01-19 19:10:42.866724
/watch?v=Yco0UK4nEuw&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@TheodorePayne,Theodore Payne Foundation,Navigating the California Drought with Evan Meyer,1.4K,Streamed 3 years,"California's drought has been all over the news recently, but the conversation often leads to more questions: How does this ...",2026-01-19 19:10:42.870100
/watch?v=DhMeLb7UvWw&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@EnviroscapeLA-Sustainability,Enviroscape LA,The new California drought tolerant Garden,802,3 years,The epic mega drought in the American southwest is helping people realize that lawns are a thing of the past due to the incredible ...,2026-01-19 19:10:42.873922
/watch?v=o0Ng3AMlQT8&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@fox40,FOX40 News,New images show the impact of recent rain on the California drought,1M,2 years,Lake Oroville is the second-largest reservoir in California and currently has more water than its average for this time of year.,2026-01-19 19:10:42.877381
/shorts/3hIGvPD2mrY,/@laozhongnews,News For Chinese,California's Drought Free Milestone  A 25 Year Record Broken!,597,10 days,California's Drought Free Milestone A 25 Year Record Broken! California has officially achieved a historic milestone: the entire ...,2026-01-19 19:10:42.878683
/shorts/_X7SeVg5Kk8,/@ABC7,ABC7,No widespread drought is expected in California for the next 2 years,9.1K,1 year,"Following recent winter storms, no widespread drought is expected in California for the next two years, through 2025 and into ...",2026-01-19 19:10:42.882245
/shorts/h5cEA3wjfDQ,/@HoltHanley,Holt Hanley,0% of California is in Severe Drought,986,2 years,"California is known for its beautiful beaches, diverse landscapes, and sunshine. However, it's also known for its water scarcity ...",2026-01-19 19:10:42.885679
/watch?v=3OrzPKc34hg&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABCNews,ABC News,California drought has reservoirs at critically low levels,154K,4 years,"ABC News' Zohreen Shah reports on climate change fueling dire drought conditions in California, drying up reservoirs critical to ...",2026-01-19 19:10:42.889194
/watch?v=Ej59-ljxhoU&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@NatGeo,National Geographic,California Drought Brings Back Gold Fever | National Geographic,262K,11 years,"California rivers, low from the recent drought, are ushering in a new gold rush. Professional miners—along with hobbyists like ...",2026-01-19 19:10:42.890568
